zone,name,description,competencies
F,드론 시뮬레이션,건양대 무유인항공공학과,
F,내 심장의 정보와 건강관리 인공지능,건양대 의료IT공학과,
F,가상현실(VR)로 떠나는 세계여행,국제메타미디어콘텐츠협동조합,
F,양력을 통해 날리는 비행기 만들기,국제메타미디어콘텐츠협동조합,
F,곤충 월드 메이커! 생태 디오라마 제작소,농업법인 ㈜한국곤충교육연구소,
F,나도 유튜버! 1인 방송 제작 체험,대전국제통상고등학교,
F,"하늘을 읽는 사람들, 구름의 원리를 파헤치다",대전지방기상청·기상기후인재개발원,
F,Be the first! 반도체 창역으로 소통하기,동아마이스터고등학교,
F,버츄얼 앵커 도전!,시청자미디어재단,
F,AI 향기 연구소: 나만의 향을 설계하다,㈜디지털센트,
F,나만의 앱 뚝딱! 바이브코딩 스튜디오,㈜유소년교육연구소,
F,연구실에서 누가 돌아왔게~,충남대학교 메카트로닉스공학과,
F,어두워지면 켜지는 불빛,충남대 생활과학교실·대전과학문화거점센터,
F,증강현실로 보는 세포 티코스터!,충남대 생활과학교실·대전과학문화거점센터,
F,나의 아이디어가 특허가 된다고?,충남대 지식재산 전문인력양성사업단,
F,무엇이든 집어내는 만능 집게,카이스트 총장장학생,
F,"미래 원자력 기술의 핵심, 나만의 SMART100 브릭 만들기",한국원자력연구원,
F,돈 만드는 사람들,한국조폐공사,
F,AI 소믈리에: 데이터로 맛 보는 스마트 힐링 카페,한남대 문화예술대학원 음료문화경영학과,
L,커피박과 자개의 빛나는 만남,감성공방,
L,6·25전사자 유해발굴 사진·유품전시회,국방부유해발굴감식단(3),
L,천천히 정성껏 느리게 원목달력만들기,느린나무협동조합,
L,전통을 담은 금박 댕기,다듬잇,
L,소목장과 함께하는 목공 체험,대전세종목공학교,
L,심폐소생술 체험,대전유성소방서,
L,슬기로운 교도관 체험,대전지방교훈청,
L,하나의 마음으로 대잔민국 미래를 FORM하다,대전지방보훈청,
L,꿈을 향한 도전! 해군과 함께하는 힘찬 항해,대한민국 해군(2),
L,단 한번의 선택이 만드는 영원한 자부심,대한민국 해병대,
L,향기석고 채색 놀이터,다이나향기교습소,
L,내마음을 담는 워리스톤,라온마을학교,
L,마음을 잇는 전통매듭,무드노트,
L,삼색 강정만들기,방울이네,
L,"대한민국의 안전, 대한민국의 경찰!",유성경찰서(2),
L,유청수 활동 처방전,유성구청소년수련관,
L,실로 그려보는 펀치니들 동물 키링,작은작업실 포코코,
L,앙금플라워,정내음,
L,대한민국 특전사,특수전사령부,
L,향기 담은 한복 방향제,플라토비,
L,버려진 유리가 책갈피가 되다!,하늘을담다,
L,자연소재 만다라손수건 만들기,한국 친환경 꽃 디자인 연구소,
L,K-water 물드림캠프,한국수자원공사 인재개발원,
Y,캘리그라피 마법족자,기현공방,
Y,AI 조향 – 향기잡(Job)았다!,요게벳,
Y,테라리움 디자이너,비바그린,
Y,나만의 나무반지 만들기 체험,나무도자기,
Y,슬랑이비누 직업체험소,초글,
Y,나만의 굿즈 스탬프 만들기,숲여울협동조합,
Y,나만의 새활용 다꾸,올댓아트,
Y,일학습병행 체험부스,한국기술교육대학원 일자리병행 공공훈련센터,
Y,함께 만드는 비전키링,대전광역시 일시청소년쉼터,
Y,"돌려라! 법무직업 룰렛, 잡(Job)아라 미래",법무부 솔로몬파크,
Y,"필로소퍼의 삶에 비춰본 나의 꿈, 나의 미래",협동조합 필리아,
Y,SDGs와 함께하는 청소년 진로탐색,대전지속가능발전협의회,
Y,내일의 내 일(My Job),유성구청소년상담복지센터,
Y,국민체력100 대전체력 인증센터,대전체력인증센터(2),
Y,패션디자이너체험,국제메타미디어콘텐츠협동조합,
C,스피치ON,핵심을 전달하라,
C,창의ON,새로운 쓰임을 찾아라,
C,탐구ON,자료 속 단서를 찾아라,
C,도전ON,조건에 맞게 완성하라,
C,마음ON,친구의 마음을 읽어라,
C,함께ON,협력의 방법을 찾아라,
C,해결ON,문제에 맞는 방법을 찾아라,
C,선택ON,100포인트를 지켜라,
C,발견ON,나의 강점 단서를 찾아라,
C,성장ON,성장 순서를 완성하라,
